⺂|㇖|||
⺂|㇖|||
⺃|㇟|||
⺃|㇟|||
⺅|亻|||
⺇|𠘨|||
⺉|刂|||
⺉|刂|||
⺎|兀|||
⺏|尣|||
⺏|尣|||
⺐|尢|||
⺑|𡯂|||
⺒|巳|||
⺓|幺|||
⺔|彑|||
⺔|彑|||
⺖|忄|||
⺘|扌|||
⺝|月|||
⺞|歺|||
⺠|民|||
⺡|氵|||
⺣|灬|||
⺥|⺤|||
⺨|犭|||
⺩|王|||
⺭|礻|||
⺯|糹|||
⺰|纟|||
⺲|罒|||
⺵|𦉫|||
⺸|𦍋|||
⺽|𦥑|||
⺾|艹|||
⺾|艹|||
⻀|卝|||
⻂|衤|||
⻃|覀|||
⻄|西|||
⻄|西|||
⻅|见|||
⻅|贝|||
⻆|角|||
⻈|讠|||
⻈|讠|||
⻉|贝|||
⻋|车|||
⻌|辶|||
⻌|辶|||
⻏|阝|||
⻐|钅|||
⻑|長|||
⻑|長|||
⻒|镸|||
⻒|镸|||
⻓|长|||
⻓|长|||
⻔|门|||
⻔|门|||
⻕|𨸏|||
⻖|阝|||
⻗|雨|||
⻘|青|||
⻘|青|||
⻙|韦|||
⻙|韦|||
⻚|页|||
⻛|风|||
⻜|飞|||
⻝|食|||
⻞|𩙿|||
⻟|飠|||
⻠|饣|||
⻢|马|||
⻢|马|||
⻣|骨|||
⻤|鬼|||
⻥|鱼|||
⻦|鸟|||
⻧|卤|||
⻨|麦|||
⻩|黄|||
⻪|黾|||
⻫|斉|||
⻬|齐|||
⻭|歯|||
⻮|齿|||
⻯|竜|||
⻰|龙|||
⻱|龜|||
⻲|亀|||
㇐|一|||
㇑|丨|||
㇔|丶|||
㇓|丿|||
乀|㇝|||
㇠|乙|||
㇟|乚|||
乚|乚|||
㇖|乛|||
⺂|乛|||
㇚|亅|||
兵|𠔊|||
⺆|冂|||
凣|凢|||
卐|卍|||
卜 |⼘|||
壿|墫|||
夊|夂|||
攵|⺙|||
攵|⺙|||
⺟|母|||
汷|𣲋|||
⺤|爫|||
狦|㹪|||
瑨|𤨁|||
簔|簑|||
⺱|罓|||
⺹|耂|||
肀|⺺|||
脼|𣍷|||
膒|𦟾|||
艹 |艹|||
⾓|角|||
訁|言|||
邔|𨙬|||
釒|金|||
龟|⻳|||
㐅|乂|||
㒨|𠑗|||
㘽|㦳|||
㬵|胶|||
㬺|幐|||
㶷|𤈎|||
䎛|㖈|||
䐠|㬻|||
𠂆|⺁|||
𠂜|𣥄|||
𠂟|乎|||
𠃊|㇗|||
𠃋|㇜|||
𠃌|㇆|||
𠃍|㇕|||
𠃎|㇘|||
𠃑|㇞|||
𠄌|㇙|||
𠄎|㇡|||
𠄙|事|||
𠄞|二|||
𠄠|二|||
𠕛|𠱬|||
𠘧|几|||
𠜰|𠜧|||
𠥽|本|||
𡀼|𡀘|||
𡢌|𡡨|||
𡰧|𡰴|||
𡿦|巛|||
𡿨|㇛|||
𢎗|弓|||
𢎜|弓|||
𢒅|𢒄|||
𢩾|执|||
𢪏|抇|||
𢱭|𢳎|||
𢹋|𢸔|||
𣎴|𤓯|||
𣎺|𠀟|||
𣏵|枏|||
𣓙|𣒏|||
𣔕|𠓲|||
𣝡|𣞼|||
𣽁|𣾞|||
𣽽|潸|||
𤎚|𡼷|||
𤣩|王|||
𤧩|𤦼|||
𤰃|𠂦|||
𤰱|画|||
𥫗|⺮|||
𦄳|𢑲|||
𦉡|罎|||
𦊈|𦚋|||
𦡦|𦡂|||
𦦦|𦦭|||
𦫵|升|||
𦭠|𦭫|||
𧮀|𦌽|||
𧶝|𧶻|||
𧺯|﨣|||
𨐋|辛|||
𨻯|𨻭|||
𩅬|𩅗|||
𩿗|𩿎|||
𪉲|𪉫|||
𪰞|畢|||
𪴒|𢸖|||
𫟝|讓|||
⺋|㔾|||
⺬|示|||
⺷|羊|||
𠆢|人|||
⺜|日|||
⺩|王|||
𧾷|足|||
𠦝|龺|||
𤴔|疋|||
十|⼗|||
