=|1494|1.3D|
い|54;120;128;163;205;206;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353;354;355;356;357;358;359;360;361;362;363;364;365;366;367;368;369;370;371;372;373;374;375;420;458;495;517;661;664;848;857;868;886;892;895;924;926;941;942;943;956;966;967;968;969;971;972;973;974;979;998;1017;1032;1034;1036;1063;1069;1070;1072;1077;1089;1090;1163;1172;1184;1221;1256;1259;1307;1387;1420;1454;1478;1528;1549;1553;1570;1572;1576;1582;1587;1630;1655;1699;1783;1803;1854;1867;1895;1988;2062;2125;2148;2217;2866;3174;3255;3442;3603;3705;3713;3797;3834;3858;3859;3870;3894;3911;3912;3930;3939;3987;4136;4154;4266;4506;4538;4571;4581;4703;4766;4770;4774;4819;4821;4883;4894;4899;4996;4997;4998;4999;5013;5111;5124;5129;5209;5321;5367;5378;5429;5452;5457;5581;5582;5586;5591;5610;5619;5632;5634;5652;5724;5730;5774;5787;5802;5833;5853;5861;5904;5952;5954;6045;6086;6159;6169;6176;6186;6187;6245;6279;6298;6311;6382;6420;6440;6444;6457;6461;6508;6522;6655;6712;6818;6894;6915;6917;6919;6920;7085;7248;7633;7652;7834;7878;7885;7971;8020;8081;8082;8118;8133;8318;8380;8428;8464;8465;8554;8584;8635;8701;8710;8728;8844;9114;9178;9234;9256;9269;9373;9646;9756;10068;10103;10107;10348;10349;10350;10369;10396;10452;10469;10476;10500;10501;10522;10545;10582;10638;10707;10751;10755;10759;10760;10781;10788;11024;11031;11139;11245;11246;11427;11543;11553;11713;11717;11729;11901;11931;11984;12035;12070;12104;12106;12129;12216;12262;12273;12405;12521;12584;12614;12672;12714;12731;12740;13049;13056;13169;13213;13345;13359;13360;13361;13411;13412;13477;13480;13486;13522;13585;13624;13800;14010;14015;14052;14163;14189;14192;14194;14198;14199;14209;14302;14313;14315;14332;14345;14383;14395;14397;14399;14419;14424;14526;14552;14554;14555;14574;14586;14600;14653;14790;14809;14814;14815;14828;14831;14861;14891;14914;14921;14953;15010;15284;15290;15454;15507;15525;15543;15733;16106;16112;16174;16186;16193;16281;16344;16356;16396;16449;16473;16524;16643;16669;16707;16717;16724;16759;16767;16768;16791;16799;16820;16833;16859;16860;17080;17102;17130;17133;17158;17179;17194;17196;17256;17260;17307;17320;17459;17464;17465;17483;17484;17487;17488;17489;17501;17509;17530;17531;17534;17538;17540;17547;17548;17590;17610;17611;19647;19690;19920;20069;20200;20206;20351;20369;20674;20702;20784;20851;21730;21841;22065;22109;22814|1.E38184|
いあいだ|7429|1.E38184E38182E38184E381A0|
いあがる|18751|1.E38184E38182E3818CE3828B|
いあたる|18748|1.E38184E38182E3819FE3828B|
いい|3911;3930;5774;8464|1.E38184E38184|
いいだ|17482|1.E38184E38184E381A0|
いいです|17417;17425|1.E38184E38184E381A7E38199|
いいですか|1012;17427;17441;17442;17485;17563|1.E38184E38184E381A7E38199E3818B|
いいですね|890;17455|1.E38184E38184E381A7E38199E381AD|
いいのに|17587|1.E38184E38184E381AEE381AB|
いいんですが|17454|1.E38184E38184E38293E381A7E38199E3818C|
いいコンビ|888|1.E38184E38184E382B3E383B3E38393|
いい加減|12566|1.E38184E38184E58AA0E6B89B|
いい所|4077|1.E38184E38184E68980|
いい線を行く|10399|1.E38184E38184E7B79AE38292E8A18CE3818F|
いい線行く|18095|1.E38184E38184E7B79AE8A18CE3818F|
いう|3784;3812|1.E38184E38186|
いうか|911|1.E38184E38186E3818B|
いうこと|931|1.E38184E38186E38193E381A8|
いうことはない|926|1.E38184E38186E38193E381A8E381AFE381AAE38184|
いうちに|6505|1.E38184E38186E381A1E381AB|
いうのは|1044|1.E38184E38186E381AEE381AF|
いえば|3925|1.E38184E38188E381B0|
いか|958;2520;17561;17566|1.E38184E3818B|
いかえる|19517|1.E38184E3818BE38188E3828B|
いかがですか|17428|1.E38184E3818BE3818CE381A7E38199E3818B|
いかける|19334|1.E38184E3818BE38191E3828B|
いかも知れない|942|1.E38184E3818BE38282E79FA5E3828CE381AAE38184|
いかん|604|1.E38184E3818BE38293|
いがけない|14828|1.E38184E3818CE38191E381AAE38184|
いきって|14830|1.E38184E3818DE381A3E381A6|
いきり|14829|1.E38184E3818DE3828A|
いきる|18680|1.E38184E3818DE3828B|
いぎい|17256|1.E38184E3818EE38184|
いく|9719;10401;10407;18086;18087;18088;18092|1.E38184E3818F|
いくつか|45|1.E38184E3818FE381A4E3818B|
いくつでも|49|1.E38184E3818FE381A4E381A7E38282|
いくつも|79|1.E38184E3818FE381A4E38282|
いくらい|10545|1.E38184E3818FE38289E38184|
いく日|12621|1.E38184E3818FE697A5|
いけない|4997;4998;4999;6920;17483;17484|1.E38184E38191E381AAE38184|
いけ好かない|293|1.E38184E38191E5A5BDE3818BE381AAE38184|
いこす|17897|1.E38184E38193E38199|
いこむ|18222;18316|1.E38184E38193E38280|
いころ|5454|1.E38184E38193E3828D|
いごっこ|17389|1.E38184E38194E381A3E38193|
いさぎ良い|10476|1.E38184E38195E3818EE889AFE38184|
いさん|14922|1.E38184E38195E38293|
いします|939;970|1.E38184E38197E381BEE38199|
いす|3758|1.E38184E38199|
いする|17467;19647;19689;19690;19920;20069;20200;20206;20351;20369;20674;20702;20718;20784;20851;20852;21730;21841;22065;22109;22176;22814|1.E38184E38199E3828B|
いそぎ|14871|1.E38184E3819DE3818E|
いた|900;916;14795|1.E38184E3819F|
いたい|17501|1.E38184E3819FE38184|
いたいんですが|17503|1.E38184E3819FE38184E38293E381A7E38199E3818C|
いたしまして|1048|1.E38184E3819FE38197E381BEE38197E381A6|
いたす|17529|1.E38184E3819FE38199|
いただく|17498|1.E38184E3819FE381A0E3818F|
