Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
ku godan|to become dry|I||かわく|乾く|kawaku|乾|kawa||||||||乾く|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||||XXXく|XXXく|ku|||き|か|こう|け|いって|いった|き|く|いった|かない|かなかった|きます|きました|きません|きませんでした|いっている|いっていて|いってる|てて|いっていない|いってない|いっています|いっていません|いっていた|いっていました|いっていませんでした|*|(お)きになる|(お)きなさる|(お)きする|(お)きいったす|いって下さい|(お)き下さい|かないで下さい|(お)きなさいませ|(お)きなさいますな|け|け|くな|きなさい|きなさるな|きたい|きたかった|きたくない|きたくなかった|きたいです|きたいでした|きたくありません|きたくありませんでした|きたがる|けば|かなきゃ|かなければ|きませば|きませんなら|いったら|かなかったら|きましたら|きませんでしたら|きたければ|こう|くまい|いってよう|きましょう|きますまい|かなきゃ (いけない)|かなければいけない|かなければならない|いってはいけない|いってはならない|いってはだめだ|かなければいけません|かなければなりません|いってはいけません|いってはなりません|いってはだめです|くだろう|いっただろう|かないだろう|かなかっただろう|くでしょう|いったでしょう|かないでしょう|かなかったでしょう|いったり(する)|かなかったり(する)|いっていたり|いっていなかったり|かせる|かす|かせない|かせます|かせません|かせられる|かされる|かせられない|かせられます|かせられません|かれる|かれた|かれない|かれます|かれません|かれて|ける|れる|けた|けない|けます|けません|き|いって|かないで|かなくて|きまして|きませんで|かずに|かなくちゃ (いけない)|かなくてはいけない|かなくてはいけません|くこと|かないこと|いったこと|いってこと|いっていること|いっていないこと|いっていたこと|いってあげる|いってくれる|いってもらう|いっていく|いっておく|きっとく|いってしまう|いちゃう|いって仕舞った|いちゃった|いってみる|いってする|いってある|いってくる|いってほしい|いってもいい|いってもかまわない|かなくてもいい|くんだ|くんです|くのだ|くのです|きすぎる|きすぎだ|き合う|きだす|き始める|き治す|き遅れる|き終わる|き忘れる|きやがる|きかねる|きあげる|きに [verb]|きながら|かなさそう|き続く|き方|きにくい|きやすい|きさす|きやがれ|かぬ|かず|かざる|かざるをえない|
iku special class|to go|I||いく|行く|iku|行|i|||||||||||||||||||||||||||*|(お)いでになる|いらっしゃる|*|参る||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*|*|*|*|*|*|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||連れて行く|tsureteiku|連れて行|tsuretei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||上手くいく|umakuiku|上手くい|umakui|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||持っていく|motteiku|持ってい|mottei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||地でいく|jideiku|地でい|jidei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||ついて行く|tsuiteiku|ついて行|tsuitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class|to maintain itself, to last, to make itself pay, to make a living, to keep going|I|||立ち行く|tachiiku|立ち行|tachii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
