0|3097|
1|842;3067|
10|3081|
100|3059|
10000|3082|
100000|3068|
1000000|3060|
10000000|3036|
100000000|3038|
1000000000|3039|
10000000000|3035|
100000000000|3037|
1000000000000|3090|
11|3046|
12|3091|
13|3084|
14|3056|
15|3047|
16|3078|
17|3072|
18|3043|
19|3064|
2|842;3094|
20|3092|
200|3095|
2000|3096|
20000|3093|
3|842;3087|
30|3085|
300|3088|
3000|3089|
30000|3086|
4|842;2976;3053|
40|3057|
400|3054|
4000|3055|
40000|3058|
5|842;3050|
50|3048|
500|3051|
5000|3052|
50000|3049|
6|842;3075|
60|3079|
600|3076|
6000|3077|
60000|3080|
7|842;2981;3069|
70|3073|
700|3070|
7000|3071|
70000|3074|
8|842;3040|
80|3044|
800|3041|
8000|3042|
80000|3045|
9|842;2987;3061|
90|3065|
900|3062|
9000|3063|
90000|3066|
a|3697;4162|
aa|418;3697;3719;9723|
aaba|11748|
aabaggu|17374|
aabaizaa|8323|
aabin|8678|
aabisu|2042|
aabisueesu|8187|
aabisueria|8188|
aabisugyou|8189|
aabisusuru|20790|
aabouru|8324|
aabu|8814|
aabura|2485;2507|
aabusuru|20982|
aacha|3997|
aacharu|3997|
aacheen|8325|
aacheisu|8815|
aachi|2398|
aachuaru|3997|
aadigan|8816|
aado|2714;2746;17218|
aadogeemu|7911|
aafu|2325|
aagarinu|2443|
aage|5705;9861|
aagenseeru|1452|
aagesuru|20371;21395|
aai|1484;17509|
aainiyotte|17414|
aairurando|4353|
aajan|14184|
aajin|10421|
aajon|8584|
aaju|9349|
aaketto|8326;8655|
aakkususuru|19848|
aaku|4595;6632;8339;8948;8981;11968;17228|
aakugo|17229|
aakuriimu|2493|
aakushiito|8949|
aakusuru|20944;21733|
aakutai|2301|
aama|6188|
aamaa|624|
aamaaketto|8326|
aaman|8327|
aame|6462;14511|
aamen|2470;14953|
aami|5786|
aaminaru|3594;7239;9083|
aamiro|928|
aamu|17534|
aamukyou|12704|
aan|8817;9321;9402|
aana|4556|
aanashonaru|9322|
aaneeshon|8818|
aanetto|2814|
aanibaru|8819|
aapetto|8820|
aapuro|2938|
aarashi|11777|
aarashii|10751|
aareesu|8821|
aarimasen|17801|
aarimasendeshita|17806;17807|
aarimasu|910;17767|
aaringu|8822|
aaringuenjin|9136|
aaru|1000;8144;8823;9350;17767;17769;17814|
aarudo|9207|
aarudokappu|9208|
aarudoshiriizu|9209|
aarusuru|20981|
aasai|11709|
aasan|2662;2690;4500;7912;14785|
aase|12315|
aasento|9394|
aasoosu|2455|
aasoru|8824|
aasu|7730|
aasukeeto|9435|
aasupootsu|10639|
aasuru|20500;21054;23215|
aasutaa|8328|
aasuto|17235|
aataa|9137|
aatarashii|14185|
aaten|2766|
aatii|1918|
aato|1521;2328;3380;3425;4016;8825;9395|
aatofon|3999|
aatorain|9138|
aatorijji|8826|
aatsu|13018|
aatsusuru|22088|
aawaawoofurimasu|985|
aawase|7673|
