1.E48293|##|regulations, laws, rules, customs or usages, a pair of compasses|||
1.E48485|##|to worship, to honor by a rite or service, to offer sacrifices|||
1.E48588|##||||
1.E4858F|##|rice boiled to gruel, congee, porridge|||
1.E485A3|##|a variety of panicled millet, a small coarse grain resembling sorghum|||
1.E486B4|##|(abbreviated form)|||
1.E486BF|##|to talk in sleep, somniloquy|||
1.E487A6|##|a kind of bamboo, colorless bamboo, bamboo shoot|||
1.E487AE|##|a bamboo mat used in ancient times, a sleeping mat|||
1.E487B3|##|a memoradum tablet, slip of paper, fancy notepaper, a note, a document|||
1.E48887|##|a cover, a shade, a basket used to catch fish|||
1.E4888E|##|a leaf, the page of a book, a leaf of a door, a lobe of the lungs or liver|||
1.E489A4|##|a bamboo ware for washing rice, a measuring unit used in ancient times, equal to 16 Chinese peck|||
1.E48B86|##||||
1.E48B96|##|long, a gown, a long dress|||
1.E48B9D|##|a throat-band, chin strap for holding the hat, tassel, a fringe|||
1.E48C82|##|in ancient times_ article for preparing the body for the coffin (something slipped on the hand of the dead)|||
1.E48CAB|##|a hawser, a cable, a rope|||
1.E48D83|##|a vase, a pitcher, earthenware|||
1.E48FAE|##|the sides of the trunk from armpits to ribs, the flank|||
1.E48FB0|##|a kind of insects, earthworm, durable, strong and soft, pliable yet tough|||
1.E49088|##|a piece of one foot two inches dried seasoned meat, to paste up, to attach to, to stick up, to glue, rotten fat, grease_ lard_ etc., bowels|||
1.E49097|##|a pig, the belly, the abdomen|||
1.E4909C|##|a swelled belly, drop-sical, to swell, inflated|||
1.E490A2|##|to wrinkle, to contract, beautiful, elegant, dried and seasoned meat, excellent food, delicacies|||
1.E49193|##|a lookout, a tower, a terrace, a platform, a stage|||
1.E4919B|##|to lick|||
1.E491B6|##|sprightly boat, light boat|||
1.E491BA|##|a sail (of a boat)|||
1.E49291|##|grass, straw, herbs, weeds|||
1.E492B3|##|a flower, a cluster of flowers, a bud, lobe of the ear|||
1.E492BE|##||||
1.E49394|##||||
1.E49488|##|lush growth of grass, trees and fruits|||
1.E4948D|##||||
1.E494A5|##|common variety of artemisia|||
1.E49583|##|the shade of a tree, to cover up, to cover or screen|||
1.E4969D|##|insects, worms|||
1.E496B8|##|moth|||
1.E497A5|##|the solitary wasp, lice on cattle, a kind of gad-fly|||
1.E497AA|##|a kind of worm, can be used in Chinese medicine|||
1.E4988F|##|sympathy, pity|||
