1.2D2D2D|0|
1.E5B6AF|46+13|
1.E5B6B0|46+13|
1.E5B6B1|46+13|
1.E5B6B2|46+13|
1.E5B6B3|46+13|
1.E5B6B4|46+13|
1.E5B6B5|46+13|
1.E5B6B6|46+13|
1.E5B6B7|46+14|
1.E5B6B8|46+14|
1.E5B6B9|46+14|
1.E5B6BA|46+14|
1.E5B6BB|46+14|
1.E5B6BC|46+14|
1.E5B6BD|46+14|
1.E5B6BE|46+14|
1.E5B6BF|46+14|
1.E5B780|46+16|
1.E5B781|46+16|
1.E5B782|46+16|
1.E5B783|46+16|
1.E5B784|46+16|
1.E5B785|46+16|
1.E5B786|46+17|
1.E5B787|46+17|
1.E5B788|46+17|
1.E5B789|46+17|
1.E5B78A|46+17|
1.E5B78B|46+17|
1.E5B78C|46+17|
1.E5B78D|46+18|
1.E5B78E|46+18|
1.E5B78F|46+18|
1.E5B790|46+18|
1.E5B791|46+19|
1.E5B792|46+19|
1.E5B793|46+19|
1.E5B794|46+19|
1.E5B795|46+19|
1.E5B796|46+20|
1.E5B797|46+20|
1.E5B798|46+20|
1.E5B799|46+20|
1.E5B79A|46+20|
1.E5B79B|47|
1.E5B79C|47+0|
1.E5B79D|47+0|
1.E5B79E|47+3|
1.E5B79F|47+3|
1.E5B7A0|47+3|
1.E5B7A1|47+3|
1.E5B7A2|47+8|
1.E5B7A3|47+8|
1.E5B7A4|47+12|
1.E5B7A5|48|
1.E5B7A6|48+2|
1.E5B7A7|48+2|
1.E5B7A8|48+2|
1.E5B7A9|48+3|
1.E5B7AA|48+3|
1.E5B7AB|48+4|
1.E5B7AC|16+7|
1.E5B7AD|19+7|
1.E5B7AE|48+7|
1.E5B7AF|48+9|
1.E5B7B0|48+10|
1.E5B7B1|49|
1.E5B7B220|49+0|
1.E5B7B3|49+0|
1.E5B7B4|49+1|
1.E5B7B5|49+4|
1.E5B7B6|49+5|
1.E5B7B7|49+6|
1.E5B7B8|49+6|
1.E5B7B9|49+6|
1.E5B7BA|49+6|
1.E5B7BB|26+6|
1.E5B7BC|49+7|
1.E5B7BD|49+9|
1.E5B7BE|50|
1.E5B7BF|50+1|
1.E5B880|50+1|
1.E5B881|50+1|
1.E5B882|50+2|
1.E5B883|50+2|
1.E5B884|50+2|
1.E5B885|50+2|
1.E5B886|50+3|
1.E5B887|50+3|
1.E5B888|50+3|
1.E5B889|50+4|
1.E5B88A|50+4|
1.E5B88B|50+4|
1.E5B88C|50+4|
1.E5B88D|50+4|
1.E5B88E|50+4|
1.E5B88F|50+4|
1.E5B890|50+4|
1.E5B891|50+5|
1.E5B892|50+5|
1.E5B893|50+5|
1.E5B894|50+5|
1.E5B895|50+5|
1.E5B896|50+5|
1.E5B897|50+5|
1.E5B898|50+5|
1.E5B899|50+5|
1.E5B89A|50+5|
1.E5B89B|50+5|
1.E5B89C|50+5|
1.E5B89D|50+6|
1.E5B89E|50+6|
1.E5B89F|50+6|
1.E5B8A0|50+6|
1.E5B8A1|50+6|
1.E5B8A2|50+6|
1.E5B8A3|50+6|
1.E5B8A4|50+6|
1.E5B8A5|50+6|
1.E5B8A6|50+6|
1.E5B8A7|50+6|
1.E5B8A8|50+7|
1.E5B8A9|50+7|
1.E5B8AA|50+7|
1.E5B8AB|50+7|
1.E5B8AC|50+7|
1.E5B8AD|50+7|
1.E5B8AE|50+7|
1.E5B8AF|50+7|
1.E5B8B0|50+7|
1.E5B8B1|50+7|
1.E5B8B2|50+8|
1.E5B8B3|50+8|
1.E5B8B4|50+8|
1.E5B8B5|50+8|
1.E5B8B6|50+8|
1.E5B8B7|50+8|
1.E5B8B8|50+8|
1.E5B8B9|50+8|
1.E5B8BA|50+8|
1.E5B8BB|50+8|
1.E5B8BC|50+8|
1.E5B8BD|50+9|
1.E5B8BE|50+9|
1.E5B8BF|50+9|
1.E5B980|50+9|
1.E5B981|50+9|
1.E5B982|50+9|
1.E5B983|50+9|
1.E5B984|50+9|
1.E5B985|50+9|
1.E5B986|50+9|
1.E5B987|50+9|
1.E5B988|50+11|
1.E5B989|50+9|
1.E5B98A|50+10|
1.E5B98B|50+10|
1.E5B98C|50+10|
1.E5B98D|50+10|
1.E5B98E|50+10|
1.E5B98F|50+10|
1.E5B990|50+10|
1.E5B991|50+11|
1.E5B992|50+11|
1.E5B993|50+11|
1.E5B994|50+11|
1.E5B995|50+11|
1.E5B996|50+11|
1.E5B997|50+11|
1.E5B998|50+11|
1.E5B999|50+11|
1.E5B99A|50+11|
1.E5B99B|50+11|
1.E5B99C|50+12|
1.E5B99D|50+12|
1.E5B99E|50+12|
1.E5B99F|50+12|
1.E5B9A0|50+12|
1.E5B9A1|50+12|
1.E5B9A2|50+12|
1.E5B9A3|50+12|
1.E5B9A4|50+12|
1.E5B9A5|50+12|
1.E5B9A6|50+13|
1.E5B9A7|50+13|
1.E5B9A8|50+13|
1.E5B9A9|50+13|
1.E5B9AA|50+14|
1.E5B9AB|50+14|
1.E5B9AC|50+14|
1.E5B9AD|50+15|
1.E5B9AE|50+15|
1.E5B9AF|50+15|
1.E5B9B0|50+16|
1.E5B9B1|50+17|
1.E5B9B2|51|
1.E5B9B3|51+2|
1.E5B9B4|51+3|
1.E5B9B5|51+3|
1.E5B9B6|51+3|
1.E5B9B7|51+5|
1.E5B9B8|51+5|
1.E5B9B9|51+10|
1.E5B9BA|52|
1.E5B9BB|52+1|
1.E5B9BC|52+2|
1.E5B9BD|52+6|
1.E5B9BE|52+9|
1.E5B9BF|53|
1.E5BA80|53+2|
1.E5BA81|53+2|
1.E5BA82|53+2|
1.E5BA83|53+2|
1.E5BA84|53+3|
1.E5BA85|53+3|
1.E5BA86|53+3|
1.E5BA87|53+4|
1.E5BA88|53+4|
1.E5BA89|53+4|
1.E5BA8A|53+4|
1.E5BA8B|53+4|
1.E5BA8C|53+4|
1.E5BA8D|53+4|
1.E5BA8E|53+4|
1.E5BA8F|53+4|
1.E5BA90|53+4|
1.E5BA91|53+4|
1.E5BA92|53+4|
1.E5BA93|53+4|
1.E5BA94|53+4|
1.E5BA95|53+5|
1.E5BA96|53+5|
1.E5BA97|53+5|
1.E5BA98|53+5|
1.E5BA99|53+5|
1.E5BA9A|53+5|
1.E5BA9B|53+5|
1.E5BA9C|53+5|
1.E5BA9D|53+5|
1.E5BA9E|53+5|
1.E5BA9F|53+5|
1.E5BAA0|53+6|
1.E5BAA1|53+6|
1.E5BAA2|53+6|
1.E5BAA3|53+6|
1.E5BAA4|53+6|
1.E5BAA5|53+6|
1.E5BAA6|53+6|
1.E5BAA7|53+7|
1.E5BAA8|53+7|
1.E5BAA9|53+7|
1.E5BAAA|53+7|
1.E5BAAB|53+7|
1.E5BAAC|53+7|
1.E5BAAD|53+7|
1.E5BAAE|53+7|
1.E5BAAF|53+7|
1.E5BAB0|53+8|
1.E5BAB1|53+8|
1.E5BAB2|53+8|
1.E5BAB3|53+8|
1.E5BAB4|53+8|
1.E5BAB5|53+8|
1.E5BAB6|53+8|
1.E5BAB7|53+8|
1.E5BAB8|53+8|
1.E5BAB9|53+8|
1.E5BABA|53+8|
1.E5BABB|53+8|
1.E5BABC|53+8|
1.E5BABD|53+9|
1.E5BABE|53+9|
1.E5BABF|53+9|
1.E5BB80|53+9|
1.E5BB81|53+9|
1.E5BB82|53+9|
1.E5BB83|53+9|
1.E5BB84|53+11|
1.E5BB85|53+10|
1.E5BB86|53+10|
1.E5BB87|53+10|
1.E5BB88|53+10|
1.E5BB89|53+10|
1.E5BB8A|53+9|
1.E5BB8B|53+10|
1.E5BB8C|53+10|
1.E5BB8D|53+11|
1.E5BB8E|53+11|
1.E5BB8F|53+11|
1.E5BB90|53+11|
1.E5BB91|53+11|
1.E5BB92|53+11|
1.E5BB93|53+11|
1.E5BB94|53+11|
1.E5BB95|53+11|
1.E5BB96|53+11|
1.E5BB97|53+11|
1.E5BB98|53+11|
1.E5BB99|53+12|
1.E5BB9A|53+12|
1.E5BB9B|53+12|
1.E5BB9C|53+12|
1.E5BB9D|53+12|
1.E5BB9E|53+12|
1.E5BB9F|53+12|
1.E5BBA0|53+12|
1.E5BBA1|53+12|
1.E5BBA2|53+12|
1.E5BBA3|53+12|
1.E5BBA4|53+12|
1.E5BBA5|53+13|
1.E5BBA6|53+13|
1.E5BBA7|53+13|
1.E5BBA8|53+13|
1.E5BBA9|53+13|
1.E5BBAA|53+13|
1.E5BBAB|53+15|
1.E5BBAC|53+16|
1.E5BBAD|53+16|
1.E5BBAE|53+17|
1.E5BBAF|53+17|
1.E5BBB0|53+17|
1.E5BBB1|53+18|
1.E5BBB2|53+19|
1.E5BBB3|53+22|
1.E5BBB4|54|
1.E5BBB5|54+3|
1.E5BBB6|54+4|
1.E5BBB7|54+4|
1.E5BBB8|54+4|
1.E5BBB9|54+5|
1.E5BBBA|54+6|
1.E5BBBB|54+6|
1.E5BBBC|54+6|
1.E5BBBD|54+7|
1.E5BBBE|55|
1.E5BBBF|55+1|
1.E5BC80|55+1|
1.E5BC81|55+2|
1.E5BC82|55+3|
1.E5BC83|55+4|
1.E5BC84|55+4|
1.E5BC85|55+4|
1.E5BC86|55+5|
1.E5BC87|55+6|
1.E5BC88|55+6|
1.E5BC89|55+7|
1.E5BC8A|55+12|
1.E5BC8B|56|
1.E5BC8C|56+1|
1.E5BC8D|56+2|
1.E5BC8E|56+3|
1.E5BC8F|56+3|
1.E5BC90|56+3|
1.E5BC91|56+9|
1.E5BC92|56+10|
1.E5BC93|57|
1.E5BC94|57+1|
1.E5BC95|57+1|
1.E5BC96|57+1|
1.E5BC97|57+2|
1.E5BC98|57+2|
1.E5BC99|57+3|
1.E5BC9A|57+3|
1.E5BC9B|57+3|
1.E5BC9C|57+3|
1.E5BC9D|57+4|
1.E5BC9E|57+4|
1.E5BC9F|57+4|
1.E5BCA0|57+4|
1.E5BCA1|57+5|
1.E5BCA2|57+5|
1.E5BCA3|57+5|
1.E5BCA4|57+5|
1.E5BCA5|57+5|
1.E5BCA6|57+5|
1.E5BCA7|57+6|
1.E5BCA8|57+5|
1.E5BCA9|57+5|
1.E5BCAA|57+5|
1.E5BCAB|57+6|
1.E5BCAC|57+6|
1.E5BCAD|57+6|
1.E5BCAE|57+6|
1.E5BCAF|57+6|
1.E5BCB0|57+7|
1.E5BCB1|57+7|
1.E5BCB2|57+7|
1.E5BCB3|57+7|
1.E5BCB4|57+8|
1.E5BCB5|57+8|
1.E5BCB6|57+8|
1.E5BCB7|57+8|
1.E5BCB8|57+8|
1.E5BCB9|57+8|
1.E5BCBA|57+9|
1.E5BCBB|57+9|
1.E5BCBC|57+9|
1.E5BCBD|57+9|
1.E5BCBE|57+9|
1.E5BCBF|57+10|
1.E5BD80|57+10|
1.E5BD81|57+10|
1.E5BD82|57+10|
1.E5BD83|57+11|
1.E5BD84|57+11|
1.E5BD85|57+11|
1.E5BD86|57+12|
1.E5BD87|57+12|
1.E5BD88|57+12|
1.E5BD89|57+12|
1.E5BD8A|57+13|
1.E5BD8B|57+13|
1.E5BD8C|57+14|
1.E5BD8D|57+15|
1.E5BD8E|57+19|
1.E5BD8F|57+20|
1.E5BD90|58|
1.E5BD91|58+0|
1.E5BD92|58+2|
1.E5BD93|42+3|
1.E5BD93|58+3|
1.E5BD94|58+5|
1.E5BD95|58+5|
1.E5BD96|58+6|
1.E5BD97|58+8|
1.E5BD98|58+9|
1.E5BD99|58+10|
1.E5BD9A|58+10|
1.E5BD9B|58+13|
1.E5BD9C|58+13|
1.E5BD9D|58+15|
1.E5BD9E|58+15|
1.E5BD9F|58+19|
1.E5BDA0|58+23|
1.E5BDA1|59|
1.E5BDA2|59+4|
1.E5BDA3|59+4|
1.E5BDA4|59+4|
1.E5BDA5|59+6|
1.E5BDA6|59+6|
1.E5BDA7|59+7|
1.E5BDA8|59+7|
1.E5BDA9|59+8|
1.E5BDAA|59+8|
1.E5BDAA|141+5|
1.E5BDAB|59+8|
1.E5BDAC|59+8|
1.E5BDAD|59+9|
1.E5BDAE|59+10|
1.E5BDAF|59+11|
1.E5BDB0|59+11|
1.E5BDB1|59+12|
1.E5BDB2|59+19|
1.E5BDB3|60|
1.E5BDB4|60+3|
1.E5BDB5|60+3|
1.E5BDB6|60+4|
1.E5BDB7|60+4|
1.E5BDB8|60+4|
1.E5BDB9|60+4|
1.E5BDBA|60+4|
1.E5BDBB|60+4|
1.E5BDBC|60+5|
1.E5BDBD|60+5|
1.E5BDBE|60+5|
1.E5BDBF|60+5|
1.E5BE80|60+5|
1.E5BE81|60+5|
1.E5BE82|60+5|
1.E5BE83|60+5|
1.E5BE84|60+5|
1.E5BE85|60+6|
1.E5BE86|60+6|
1.E5BE87|60+6|
1.E5BE88|60+6|
1.E5BE89|60+6|
1.E5BE8A|60+6|
1.E5BE8B|60+6|
1.E5BE8C|60+6|
1.E5BE8D|60+6|
1.E5BE8E|60+7|
1.E5BE8F|60+7|
1.E5BE90|60+7|
1.E5BE91|60+7|
1.E5BE92|60+7|
1.E5BE93|60+7|
1.E5BE94|60+7|
1.E5BE95|60+7|
1.E5BE96|60+8|
1.E5BE97|60+8|
1.E5BE98|60+8|
1.E5BE99|60+8|
1.E5BE9A|60+8|
1.E5BE9B|60+8|
1.E5BE9C|60+8|
1.E5BE9D|60+8|
1.E5BE9E|60+8|
1.E5BE9F|60+8|
1.E5BEA0|60+8|
1.E5BEA1|60+8|
1.E5BEA2|60+8|
1.E5BEA3|60+8|
1.E5BEA4|60+9|
1.E5BEA5|60+9|
1.E5BEA6|60+9|
1.E5BEA7|60+9|
1.E5BEA8|60+9|
1.E5BEA9|60+9|
1.E5BEAA|60+9|
1.E5BEAB|60+9|
1.E5BEAC|60+10|
1.E5BEAD|60+10|
1.E5BEAE|60+10|
1.E5BEAF|60+10|
1.E5BEB0|60+10|
1.E5BEB1|60+11|
1.E5BEB2|60+11|
1.E5BEB3|60+11|
1.E5BEB4|60+11|
1.E5BEB5|60+12|
1.E5BEB6|60+12|
1.E5BEB7|60+12|
1.E5BEB8|60+12|
1.E5BEB9|60+12|
1.E5BEBA|60+12|
1.E5BEBB|60+13|
1.E5BEBC|60+13|
1.E5BEBD|60+14|
1.E5BEBE|60+14|
1.E5BEBF|60+16|
1.E5BF80|60+17|
1.E5BF81|60+17|
1.E5BF82|60+18|
1.E5BF83|61|
1.E5BF84|61+0|
1.E5BF85|61+1|
1.E5BF86|61+1|
1.E5BF87|61+2|
1.E5BF88|61+2|
1.E5BF89|61+2|
1.E5BF8A|61+2|
1.E5BF8B|61+3|
1.E5BF8C|61+3|
1.E5BF8D|61+3|
1.E5BF8E|61+3|
1.E5BF8F|61+3|
1.E5BF90|61+3|
1.E5BF91|61+3|
1.E5BF92|61+3|
1.E5BF93|61+3|
1.E5BF94|61+3|
1.E5BF95|61+3|
1.E5BF96|61+3|
1.E5BF97|61+3|
1.E5BF98|61+3|
1.E5BF99|61+3|
1.E5BF9A|61+3|
1.E5BF9B|61+3|
1.E5BF9C|61+3|
1.E5BF9D|61+4|
1.E5BF9E|61+4|
1.E5BF9F|61+4|
1.E5BFA0|61+4|
1.E5BFA1|61+4|
1.E5BFA2|61+4|
1.E5BFA3|61+4|
1.E5BFA4|61+4|
1.E5BFA5|61+4|
1.E5BFA6|61+4|
1.E5BFA7|61+4|
1.E5BFA8|61+4|
1.E5BFA9|61+4|
1.E5BFAA|61+4|
1.E5BFAB|61+4|
1.E5BFAC|61+4|
1.E5BFAD|61+4|
1.E5BFAE|61+4|
1.E5BFAF|61+4|
1.E5BFB0|61+4|
1.E5BFB1|61+4|
1.E5BFB2|61+4|
1.E5BFB3|61+4|
1.E5BFB4|61+4|
1.E5BFB5|61+4|
1.E5BFB6|61+4|
1.E5BFB7|61+4|
1.E5BFB8|61+4|
1.E5BFB9|61+4|
1.E5BFBA|61+4|
1.E5BFBB|61+4|
1.E5BFBC|61+4|
1.E5BFBD|61+4|
1.E5BFBE|61+4|
1.E5BFBF|61+4|
1.E68080|61+4|
1.E68081|61+4|
1.E68082|61+4|
1.E68083|61+4|
1.E68084|61+4|
1.E68085|61+4|
1.E68086|61+4|
1.E68087|61+5|
1.E68088|61+5|
1.E68089|61+5|
1.E6808A|61+5|
1.E6808B|61+5|
1.E6808C|61+5|
1.E6808D|61+5|
1.E6808E|61+5|
1.E6808F|61+5|
1.E68090|61+5|
1.E68091|61+5|
1.E68092|61+5|
1.E68093|61+5|
1.E68094|61+5|
1.E68095|61+5|
1.E68096|61+5|
1.E68097|61+5|
1.E68098|61+5|
1.E68099|61+5|
1.E6809A|61+5|
1.E6809B|61+5|
1.E6809C|61+5|
1.E6809D|61+5|
1.E6809E|61+5|
1.E6809F|61+5|
1.E680A0|61+5|
1.E680A1|61+5|
1.E680A2|61+5|
1.E680A3|61+5|
1.E680A4|61+5|
1.E680A5|61+5|
1.E680A6|61+5|
1.E680A7|61+5|
1.E680A8|61+5|
1.E680A9|61+5|
1.E680AA|61+5|
1.E680AB|61+5|
1.E680AC|61+5|
1.E680AD|61+5|
1.E680AE|61+5|
1.E680AF|61+5|
1.E680B0|61+5|
1.E680B1|61+5|
1.E680B2|61+5|
1.E680B3|61+5|
1.E680B4|61+5|
1.E680B5|61+5|
1.E680B6|61+5|
1.E680B7|61+5|
1.E680B8|61+5|
1.E680B9|61+5|
1.E680BA|61+5|
1.E680BB|61+5|
1.E680BC|61+5|
1.E680BD|61+5|
1.E680BE|61+5|
1.E680BF|61+5|
1.E68180|61+6|
1.E68181|61+6|
1.E68182|61+6|
1.E68183|61+6|
1.E68184|61+6|
1.E68185|61+6|
1.E68186|61+6|
1.E68187|61+6|
1.E68188|61+6|
1.E68189|61+6|
1.E6818A|61+6|
1.E6818B|61+6|
1.E6818C|61+6|
1.E6818D|61+6|
1.E6818E|61+6|
1.E6818F|61+6|
1.E68190|61+6|
1.E68191|61+6|
1.E68192|61+6|
1.E68193|61+6|
1.E68194|61+6|
1.E68195|61+6|
1.E68196|61+6|
1.E68197|61+6|
1.E68198|61+6|
1.E68199|61+6|
1.E6819A|61+6|
1.E6819B|61+6|
1.E6819C|61+6|
1.E6819D|61+6|
1.E6819E|61+6|
1.E6819F|61+6|
1.E681A0|61+6|
1.E681A1|61+6|
1.E681A2|61+6|
1.E681A3|61+6|
1.E681A4|61+6|
1.E681A5|61+6|
1.E681A6|61+6|
1.E681A7|61+6|
1.E681A8|61+6|
1.E681A9|61+6|
1.E681AA|61+6|
1.E681AB|61+6|
1.E681AC|61+6|
1.E681AD|61+6|
1.E681AE|61+6|
1.E681AF|61+6|
1.E681B0|61+6|
1.E681B1|61+6|
1.E681B2|61+6|
1.E681B3|61+6|
1.E681B4|61+6|
1.E681B5|61+6|
1.E681B6|61+6|
1.E681B7|61+6|
1.E681B8|61+6|
1.E681B9|61+6|
1.E681BA|61+6|
1.E681BB|61+6|
1.E681BC|61+6|
1.E681BD|61+7|
1.E681BE|61+7|
1.E681BF|61+7|
1.E68280|61+7|
1.E68281|61+7|
1.E68282|61+7|
1.E68283|61+7|
1.E68284|61+7|
1.E68285|61+7|
1.E68286|61+7|
1.E68287|61+7|
1.E68288|61+7|
1.E68289|61+7|
1.E6828A|61+7|
1.E6828B|61+7|
1.E6828C|61+7|
1.E6828D|61+7|
1.E6828E|61+7|
1.E6828F|61+7|
1.E68290|61+7|
1.E68291|61+7|
1.E68292|61+7|
1.E68293|61+7|
1.E68294|61+6|
1.E68295|61+7|
1.E68296|61+7|
1.E68297|61+7|
1.E68298|61+7|
1.E68299|61+7|
1.E6829A|61+7|
1.E6829B|61+7|
1.E6829C|61+7|
1.E6829D|61+7|
1.E6829E|61+7|
1.E6829F|61+7|
1.E682A0|61+7|
1.E682A1|61+7|
1.E682A2|61+7|
1.E682A3|61+7|
1.E682A4|61+7|
1.E682A5|61+7|
1.E682A6|61+7|
1.E682A7|61+7|
1.E682A8|61+7|
1.E682A9|61+7|
1.E682AA|61+7|
1.E682AB|61+7|
1.E682AC|61+7|
1.E682AD|61+7|
1.E682AE|61+7|
1.E682AF|61+7|
1.E682B0|61+8|
1.E682B1|61+8|
1.E682B2|61+8|
1.E682B3|61+8|
1.E682B4|61+8|
1.E682B5|61+8|
1.E682B6|61+8|
1.E682B7|61+8|
1.E682B8|61+8|
1.E682B9|61+8|
1.E682BA|61+8|
1.E682BB|61+8|
1.E682BC|61+8|
1.E682BD|61+8|
1.E682BE|61+8|
1.E682BF|61+8|
1.E68380|61+8|
1.E68381|61+8|
1.E68382|61+8|
1.E68383|61+8|
1.E68384|61+8|
1.E68385|61+8|
1.E68386|61+8|
1.E68387|61+8|
1.E68388|61+8|
1.E68389|61+8|
1.E6838A|61+8|
1.E6838B|61+8|
1.E6838C|61+8|
1.E6838D|61+8|
1.E6838E|61+8|
1.E6838F|61+8|
1.E68390|61+8|
1.E68391|61+8|
1.E68392|61+8|
1.E68393|61+8|
1.E68394|61+8|
1.E68395|61+8|
1.E68396|61+8|
1.E68397|61+8|
1.E68398|61+8|
1.E68399|61+8|
1.E6839A|61+8|
1.E6839B|61+8|
1.E6839C|61+8|
1.E6839D|61+8|
1.E6839E|61+8|
1.E6839F|61+8|
1.E683A0|61+8|
1.E683A1|61+8|
1.E683A2|61+8|
1.E683A3|61+8|
1.E683A4|61+8|
1.E683A5|61+8|
1.E683A6|61+8|
1.E683A7|61+8|
1.E683A8|61+8|
1.E683A9|61+8|
1.E683AA|61+8|
1.E683AB|61+8|
1.E683AC|61+8|
1.E683AD|61+8|
1.E683AE|61+8|
1.E683AF|61+9|
1.E683B0|61+9|
1.E683B1|61+9|
1.E683B2|61+9|
1.E683B3|61+9|
1.E683B4|61+9|
1.E683B5|61+9|
1.E683B6|61+9|
1.E683B7|61+9|
1.E683B8|61+9|
1.E683B9|61+9|
1.E683BA|61+9|
1.E683BB|61+9|
1.E683BC|61+9|
1.E683BD|61+9|
1.E683BE|61+9|
1.E683BF|61+9|
1.E68480|61+9|
1.E68481|61+9|
1.E68482|61+9|
1.E68483|61+9|
1.E68484|61+9|
1.E68485|61+9|
1.E68486|61+9|
1.E68487|61+9|
1.E68488|61+9|
1.E68489|61+9|
1.E6848A|61+9|
1.E6848B|61+9|
1.E6848C|61+9|
1.E6848D|61+9|
1.E6848E|61+9|
1.E6848F|61+9|
1.E68490|61+9|
1.E68491|61+9|
1.E68492|61+9|
1.E68493|61+9|
1.E68494|61+9|
1.E68495|61+9|
1.E68496|61+9|
1.E68497|61+9|
1.E68498|61+9|
1.E68499|61+9|
1.E6849A|61+9|
1.E6849B|61+9|
1.E6849C|61+9|
1.E6849D|61+9|
1.E6849E|61+9|
1.E6849F|61+9|
1.E684A0|61+9|
1.E684A1|61+9|
1.E684A2|61+9|
1.E684A3|61+9|
1.E684A4|61+9|
1.E684A5|61+9|
1.E684A6|61+9|
1.E684A7|61+10|
1.E684A8|61+10|
1.E684A9|61+10|
1.E684AA|61+10|
1.E684AB|61+10|
1.E684AC|61+10|
1.E684AD|61+10|
1.E684AE|61+10|
1.E684AF|61+10|
1.E684B0|61+10|
1.E684B1|61+10|
1.E684B2|61+10|
1.E684B3|61+10|
1.E684B4|61+10|
1.E684B5|61+10|
1.E684B6|61+10|
1.E684B7|61+10|
1.E684B8|61+10|
1.E684B9|61+10|
1.E684BA|61+10|
1.E684BB|61+10|
1.E684BC|61+10|
1.E684BD|61+10|
1.E684BE|61+10|
1.E684BF|61+10|
1.E68580|61+10|
1.E68581|61+10|
1.E68582|61+10|
1.E68583|61+10|
1.E68584|61+10|
1.E68585|61+10|
1.E68586|61+10|
1.E68587|61+10|
1.E68588|61+10|
1.E68589|61+10|
1.E6858A|61+10|
1.E6858B|61+10|
1.E6858C|61+10|
1.E6858D|61+10|
1.E6858E|61+10|
1.E6858F|61+10|
1.E68590|61+10|
1.E68591|61+11|
1.E68592|61+11|
1.E68593|61+11|
1.E68594|61+11|
1.E68595|61+10|
1.E68595|61+11|
1.E68596|61+11|
1.E68597|61+11|
1.E68598|61+11|
1.E68599|61+11|
1.E6859A|61+11|
1.E6859B|61+11|
1.E6859C|61+11|
1.E6859D|61+11|
1.E6859E|61+11|
1.E6859F|61+11|
1.E685A0|61+11|
1.E685A1|61+11|
1.E685A2|61+11|
1.E685A3|61+11|
1.E685A4|61+11|
1.E685A5|61+11|
1.E685A6|61+11|
1.E685A7|61+11|
1.E685A8|61+9|
1.E685A9|61+11|
1.E685AA|61+11|
1.E685AB|61+11|
1.E685AC|61+11|
1.E685AD|61+11|
1.E685AE|61+11|
1.E685AF|61+11|
1.E685B0|61+11|
1.E685B1|61+11|
1.E685B2|61+11|
1.E685B3|61+11|
1.E685B4|61+11|
1.E685B5|61+11|
1.E685B6|61+11|
1.E685B7|61+11|
1.E685B8|61+11|
1.E685B9|61+11|
1.E685BA|61+11|
1.E685BB|61+11|
1.E685BC|61+11|
1.E685BD|61+11|
1.E685BE|61+11|
1.E685BF|61+11|
1.E68680|61+11|
1.E68681|61+11|
1.E68682|61+12|
1.E68683|61+11|
1.E68684|61+11|
1.E68685|61+11|
1.E68686|61+11|
1.E68687|61+11|
1.E68688|61+12|
1.E68689|61+12|
1.E6868A|61+12|
1.E6868B|61+12|
1.E6868C|61+12|
1.E6868D|61+12|
1.E6868E|61+11|
1.E6868F|61+12|
1.E68690|61+12|
1.E68691|61+12|
1.E68692|61+12|
1.E68693|61+12|
1.E68694|61+12|
1.E68695|61+12|
1.E68696|61+12|
1.E68697|61+12|
1.E68698|61+12|
1.E68699|61+12|
1.E6869A|61+12|
1.E6869B|61+12|
1.E6869C|61+12|
1.E6869D|61+12|
1.E6869E|61+12|
1.E6869F|61+12|
1.E686A0|61+12|
1.E686A1|61+12|
1.E686A2|61+12|
1.E686A3|61+12|
1.E686A4|61+13|
1.E686A5|61+12|
1.E686A6|61+12|
1.E686A7|61+12|
1.E686A8|61+12|
1.E686A9|61+12|
1.E686AA|61+12|
1.E686AB|61+12|
1.E686AC|61+12|
1.E686AD|61+12|
1.E686AE|61+12|
1.E686AF|61+12|
1.E686B0|61+12|
1.E686B1|61+12|
1.E686B2|61+12|
1.E686B3|61+12|
1.E686B4|61+13|
1.E686B5|61+13|
1.E686B6|61+13|
1.E686B7|61+13|
1.E686B8|61+13|
1.E686B9|61+13|
1.E686BA|61+13|
1.E686BB|61+13|
1.E686BC|61+13|
1.E686BD|61+13|
1.E686BE|61+13|
1.E686BF|61+13|
1.E68780|61+13|
1.E68781|61+13|
1.E68782|61+13|
1.E68783|61+13|
1.E68784|61+13|
1.E68785|61+13|
1.E68786|61+13|
1.E68787|61+13|
1.E68788|61+13|
1.E68789|61+13|
1.E6878A|61+13|
1.E6878B|61+13|
1.E6878C|61+13|
1.E6878D|61+13|
1.E6878E|61+13|
1.E6878F|61+13|
1.E68790|61+13|
1.E68791|61+13|
1.E68792|61+13|
1.E68793|61+13|
1.E68794|61+13|
1.E68795|61+13|
1.E68796|61+13|
1.E68797|61+14|
1.E68798|61+14|
1.E68799|61+14|
1.E6879A|61+14|
1.E6879B|61+14|
1.E6879C|61+14|
1.E6879D|61+14|
1.E6879E|61+14|
1.E6879F|61+14|
1.E687A0|61+14|
1.E687A1|61+14|
1.E687A2|61+14|
1.E687A3|61+14|
1.E687A4|61+14|
1.E687A5|61+14|
1.E687A6|61+14|
1.E687A7|61+14|
1.E687A8|61+14|
1.E687A9|61+14|
1.E687AA|61+14|
1.E687AB|61+14|
1.E687AC|61+14|
1.E687AD|61+14|
1.E687AE|61+14|
1.E687AF|61+14|
1.E687B0|61+14|
1.E687B1|61+14|
1.E687B2|61+14|
1.E687B3|61+15|
1.E687B4|61+15|
1.E687B5|61+16|
1.E687B6|61+16|
1.E687B7|61+16|
1.E687B8|61+16|
1.E687B9|61+17|
1.E687BA|61+17|
1.E687BB|61+17|
1.E687BC|61+18|
1.E687BD|61+18|
