KEYWORDS|Roumaji construction|Kana construction|Meaning|Type|Categories|Explanation|Rules|Example|Opposite|Synonym|Variable Extra keywords|
tama, tamashii, 魂, 霊, soul, spirit, damashii, |tama, tamashii|魂, 霊|soul, spirit|Noun|Abstract Concept / Fact||||||damashii|
ashiki, 悪しき, badness, evilness, , |ashiki|悪しき|badness, evilness|Noun|Abstract Concept / Fact|||||||
koukyuuhin, 高級品, quality goods, , |koukyuuhin|高級品|quality goods|Noun|Abstract Concept / Fact|||||||
toshitsuki, 年月, months and years, , |toshitsuki|年月|months and years|Noun|Abstract Concept / Fact|||||||
umare, 生まれ, birth, birthplace, , |umare|生まれ|birth, birthplace|Noun|Abstract Concept / Fact|||||||
ishi, 意思, intention, purpose, , |ishi|意思|intention, purpose|Noun|Abstract Concept / Fact|||||||
monooto, 物音, sounds, , |monooto|物音|sounds|Noun|Abstract Concept / Fact|||64||||
mimari, 見舞い, expression of sympathy, expression of concern, enquiry, inquiry, get-well gifts, get-well letters, , |mimari|見舞い|expression of sympathy, expression of concern, enquiry, inquiry, get-well gifts, get-well letters|Noun|Abstract Concept / Fact|||||||
en, 円, yen, , |en|円|yen|Noun|Abstract Concept / Fact|||||||
retsu, 列, queue, line, , |retsu|列|queue, line|Noun|Abstract Concept / Fact|||65||||
genjitsu, 現実, reality, , |genjitsu|現実|reality|Noun|Abstract Concept / Fact|||||||
oku, 奥, interior, , |oku|奥|interior|Noun|Abstract Concept / Fact|||||||
mi, 身, body, onself, one's place, one's position, main part, , |mi|身|body, onself, one's place, one's position, main part|Noun|Abstract Concept / Fact|||||||
iki, 行き, (a) going, , |iki|行き|(a) going|Noun|Abstract Concept / Fact|||||||
tsuujou, 通常, common, general, normal, usual, , |tsuujou|通常|common, general, normal, usual|Noun|Abstract Concept / Fact|||||||
fudan, 普段, usual, habitual, ordinary, everyday, always, , |fudan|普段|usual, habitual, ordinary, everyday, always|Noun|Abstract Concept / Fact|||||||
shiai, 試合, tournament, match, game, bout, contest, , |shiai|試合|tournament, match, game, bout, contest|Noun|Abstract Concept / Fact|||66||||
hontou, 本当, truth, , |hontou|本当|truth|Noun|Abstract Concept / Fact|||67||||
nihongo, 日本語, Japanese language, , |nihongo|日本語|Japanese language|Noun|Abstract Concept / Fact|||68||||
eigo, 英語, English language, , |eigo|英語|English language|Noun|Abstract Concept / Fact|||69||||
furansugo, フランス語, French language, , |furansugo|フランス語|French language|Noun|Abstract Concept / Fact|||70||||
doitsugo, ドイツ語, German language, , |doitsugo|ドイツ語|German language|Noun|Abstract Concept / Fact|||70||||
chuugokugo, 中国語, Chinese language, , |chuugokugo|中国語|Chinese language|Noun|Abstract Concept / Fact|||70||||
tango, 単語, word, vocabulary, , |tango|単語|word, vocabulary|Noun|Abstract Concept / Fact|||1415||||
myouji, 苗字, surname, family name, , |myouji|苗字|surname, family name|Noun|Abstract Concept / Fact|||||||
shiiku, 飼育, breeding, raising, rearing, , |shiiku|飼育|breeding, raising, rearing|Noun|Abstract Concept / Fact|||||||
mushou, 無償, free of charge, no compensation, , |mushou|無償|free of charge, no compensation|Noun|Abstract Concept / Fact|||||||
kuugun, 空軍, airforce, kugun, |kuugun|空軍|airforce|Noun|Abstract Concept / Fact||||||kugun|
kanchigai, 勘違い, misunderstanding, wrong guess, , |kanchigai|勘違い|misunderstanding, wrong guess|Noun|Abstract Concept / Fact|||||||
chigai, 違い, difference, discrepancy, , |chigai|違い|difference, discrepancy|Noun|Abstract Concept / Fact|||||||
houkoku, 報告, report, information, , |houkoku|報告|report, information|Noun|Abstract Concept / Fact|||||||
douri, 道理, reason, truth, , |douri|道理|reason, truth|Noun|Abstract Concept / Fact|||||||
tsuuyou, 通用, popular use, circulation, , |tsuuyou|通用|popular use, circulation|Noun|Abstract Concept / Fact|||||||
kazu, 数, number, amount, quantity, , |kazu|数|number, amount, quantity|Noun|Abstract Concept / Fact|||||||
hanashiai, 話し合い, discussion, conference, , |hanashiai|話し合い|discussion, conference|Noun|Abstract Concept / Fact|||||||
chikaduki, 近付き, acquaintance, chikazuki, 近づき, |chikaduki|近付き|acquaintance|Noun|Abstract Concept / Fact||||||chikazuki, 近づき|
denshi, 電子, electron, electronics, , |denshi|電子|electron, electronics|Noun|Abstract Concept / Fact|||||||
houkokusho, 報告書, written report, , |houkokusho|報告書|written report|Noun|Abstract Concept / Fact|||1279||||
jurei, 樹齢, age of a tree, , |jurei|樹齢|age of a tree|Noun|Abstract Concept / Fact|||||||
gen'in, 原因, cause, origin, source, genin, |gen'in|原因|cause, origin, source|Noun|Abstract Concept / Fact||||||genin|
kankei, 関係, relation, relationship, connection, participation ,involvement, concern, influence, effect, sexual relation, , |kankei|関係|relation, relationship, connection, participation ,involvement, concern, influence, effect, sexual relation|Noun|Abstract Concept / Fact|||||||
tainai, 体内, inside the body, , |tainai|体内|inside the body|Noun|Abstract Concept / Fact|||||||
gaku, 額, framed picture, sum of money, , |gaku|額|framed picture, sum of money|Noun|Abstract Concept / Fact|||1288||||
gengo, 言語, language, , |gengo|言語|language|Noun|Abstract Concept / Fact|||||||
kikai, 機会, chance, opportunity, , |kikai|機会|chance, opportunity|Noun|Abstract Concept / Fact|||||||
mannaka, 真ん中, middle, center, mid-way, centre, |mannaka|真ん中|middle, center, mid-way|Noun|Abstract Concept / Fact||||||centre|
zettai, 絶対, absoluteness, absolute, , |zettai|絶対|absoluteness, absolute|Noun|Abstract Concept / Fact|||||||
joudan, 冗談, jest, joke, funny story, , |joudan|冗談|jest, joke, funny story|Noun|Abstract Concept / Fact|||||||
suidou, 水道, water service, water supply, , |suidou|水道|water service, water supply|Noun|Abstract Concept / Fact|||||||
jinkou, 人口, population, common talk, , |jinkou|人口|population, common talk|Noun|Abstract Concept / Fact|||||||
norimono, 乗り物, vehicle, 乗物, |norimono|乗り物|vehicle|Noun|Abstract Concept / Fact||||||乗物|
shougatsu, 正月, New Year's day, , |shougatsu|正月|New Year's day|Noun|Abstract Concept / Fact|||1262, 1263, 1264||||
jama, 邪魔, hindrance, intrusion, jiyama, |jama|邪魔|hindrance, intrusion|Noun|Abstract Concept / Fact||||||jiyama|
kanshou, 干渉, interference, intervention, meddling, , |kanshou|干渉|interference, intervention, meddling|Noun|Abstract Concept / Fact|||||||
daiaroogu, ダイアローグ, dialogue, , |daiaroogu|ダイアローグ|dialogue|Noun|Abstract Concept / Fact|||| |||
kurashi, 暮らし, life, living, livelihood, 暮し, gurashi, |kurashi|暮らし|life, living, livelihood|Noun|Abstract Concept / Fact||||||暮し, gurashi|
karuchaa, カルチャー, culture, , |karuchaa|カルチャー|culture|Noun|Abstract Concept / Fact|||||||
renshuu, 練習, exercise, practice, , |renshuu|練習|exercise, practice|Noun|Abstract Concept / Fact|||71||||
sumou, 周防, sumo wrestling, , |sumou|周防|sumo wrestling|Noun|Abstract Concept / Fact|||||||
kimochi, 気持ち, feeling, sensation, mood, , |kimochi|気持ち|feeling, sensation, mood|Noun|Abstract Concept / Fact|||1323||||
bijutsu, 美術, art, , |bijutsu|美術|art|Noun|Abstract Concept / Fact|||||||
tenki, otenki, 天気, weather, , |tenki, otenki|天気|weather|Noun|Abstract Concept / Fact|||72, 1315, 1323||||
keisatsu, 警察, police, , |keisatsu|警察|police|Noun|Abstract Concept / Fact|||||||
kanshin, 感心, admiration, , |kanshin|感心|admiration|Noun|Abstract Concept / Fact|||||||
hare, 晴れ, fair weather, clear weather, , |hare|晴れ|fair weather, clear weather|Noun|Abstract Concept / Fact|||73||||
hon'yaku, 翻訳, written translation, honyaku, |hon'yaku|翻訳|written translation|Noun|Abstract Concept / Fact|||||tsuuyaku|honyaku|
tsuuyaku, 通訳, interpretation, oral translation, , |tsuuyaku|通訳|interpretation, oral translation|Noun|Abstract Concept / Fact|||||hon'yaku||
hima, 暇, spare time, free time, leisure, time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse), , |hima|暇|spare time, free time, leisure, time off, day off, vacation, holiday, leave, quitting (one's job), firing someone, divorcing (one's spouse)|Noun|Abstract Concept / Fact|||74||||
kisetsu, 季節, season, , |kisetsu|季節|season|Noun|Abstract Concept / Fact|||75, 1310, 1315, 1316||||
idai, 偉大, greatness, , |idai|偉大|greatness|Noun|Abstract Concept / Fact|||||||
benrisa, 便利さ, convenience, handiness, usefulness, , |benrisa|便利さ|convenience, handiness, usefulness|Noun|Abstract Concept / Fact|||||||
genki, 元気, energy, stamina, vitality, vim, spirit, courage, pep, vigor, vigour, health, , |genki|元気|energy, stamina, vitality, vim, spirit, courage, pep, vigor, vigour, health|Noun|Abstract Concept / Fact|||||||
hiyoo, 費用, cost, expense, , |hiyoo|費用|cost, expense|Noun|Abstract Concept / Fact|||||||
hihyou, 批評, criticism, , |hihyou|批評|criticism|Noun|Abstract Concept / Fact|||||||
shumi, 趣味, hobby, hobbies, pastime, tastes, preferences, liking, , |shumi|趣味|hobby, hobbies, pastime, tastes, preferences, liking|Noun|Abstract Concept / Fact|||1311||||
saishi, 祭祀, ritual, religious service, festival, , |saishi|祭祀|ritual, religious service, festival|Noun|Abstract Concept / Fact|||||||
keihou, 警報, alarm, warning, , |keihou|警報|alarm, warning|Noun|Abstract Concept / Fact|||||||
saigai, 災害, calamity, disaster, misfortune, , |saigai|災害|calamity, disaster, misfortune|Noun|Abstract Concept / Fact|||||||
sutairu, スタイル, style, , |sutairu|スタイル|style|Noun|Abstract Concept / Fact|||||||
buri, 振り, appearance, behavior, pretense, show, posture, , lack of reservation or introduction, , |buri|振り|appearance, behavior, pretense, show, posture, , lack of reservation or introduction|Noun|Abstract Concept / Fact|||||||
katsudou, 活動, action, activity, , |katsudou|活動|action, activity|Noun|Abstract Concept / Fact|||||||
fuu, 風, manner, way, style, appearance, air, tendency, wind, , |fuu|風|manner, way, style, appearance, air, tendency, wind|Noun|Abstract Concept / Fact|||||||
fuu, 封, seal, , |fuu|封|seal|Noun|Abstract Concept / Fact|||||||
kakki, 活気, energy, liveliness, , |kakki|活気|energy, liveliness|Noun|Abstract Concept / Fact|||||||
katsuyou, 活用, practical use, application, conjugation, declension, inflection, , |katsuyou|活用|practical use, application, conjugation, declension, inflection|Noun|Abstract Concept / Fact|||||||
teido, 程度, degree, amount, grade, standard, of the order of, , |teido|程度|degree, amount, grade, standard, of the order of|Noun|Abstract Concept / Fact|||||||
gakki, 学期, school term, semester, , |gakki|学期|school term, semester|Noun|Abstract Concept / Fact|||||||
gaikou, 外交, diplomacy, selling, , |gaikou|外交|diplomacy, selling|Noun|Abstract Concept / Fact|||||||
kangai, 感慨, strong feelings, deep emotion, , |kangai|感慨|strong feelings, deep emotion|Noun|Abstract Concept / Fact|||||||
namari, 鉛筆, accent, dialect, , |namari|鉛筆|accent, dialect|Noun|Abstract Concept / Fact|||||||
warai, 笑い, laugh, laughter, smile, 咲い, |warai|笑い|laugh, laughter, smile|Noun|Abstract Concept / Fact||||||咲い|
waraigoe, 笑い声, laughter, , |waraigoe|笑い声|laughter|Noun|Abstract Concept / Fact|||||||
warai, 嗤い, sneer, , |warai|嗤い|sneer|Noun|Abstract Concept / Fact|||||||
katamichi, 片道, onw-way (trip), , |katamichi|片道|onw-way (trip)|Noun|Abstract Concept / Fact|||||||
kakkou, 格好, shape, form, posture, appearance, manner, suitability, moderateness (in price), 恰好, |kakkou|格好|shape, form, posture, appearance, manner, suitability, moderateness (in price)|Noun|Abstract Concept / Fact||||||恰好|
juutai, 重体, congestion (e.g. traffic), congestion, stagnation, jutai, |juutai|重体|congestion (e.g. traffic), congestion, stagnation|Noun|Abstract Concept / Fact|||1402|||jutai|
gozonji, ご存じ, knowing, acquaintance, , |gozonji|ご存じ|knowing, acquaintance|Noun|Abstract Concept / Fact|||||||
saizu, サイズ, size, , |saizu|サイズ|size|Noun|Abstract Concept / Fact|||||||
ryougae, 領解, exchange, , |ryougae|領解|exchange|Noun|Abstract Concept / Fact|||||||
shoutai, 正体, natural shape, one's true colors, true character, true identity, consciousness, one's senses, , |shoutai|正体|natural shape, one's true colors, true character, true identity, consciousness, one's senses|Noun|Abstract Concept / Fact|||||||
hatsuon, 発音, pronunciation, , |hatsuon|発音|pronunciation|Noun|Abstract Concept / Fact|||||||
reihou, 礼法, etiquette, courtesy, manners, , |reihou|礼法|etiquette, courtesy, manners|Noun|Abstract Concept / Fact|||||||
taihan, 大半, majority, generality, , |taihan|大半|majority, generality|Noun|Abstract Concept / Fact|||||||
kaigou, 会合, meeting, assembly, , |kaigou|会合|meeting, assembly|Noun|Abstract Concept / Fact|||||||
kaiten, 回転, rotation, revolution, turning, 廻転, |kaiten|回転|rotation, revolution, turning|Noun|Abstract Concept / Fact||||||廻転|
kakuri, 隔離, isolation, segregation, separation, quarantine, , |kakuri|隔離|isolation, segregation, separation, quarantine|Noun|Abstract Concept / Fact|||||||
kaihi, 会費, membership fee, , |kaihi|会費|membership fee|Noun|Abstract Concept / Fact|||||||
shinamono, 品物, goods, article, thing, , |shinamono|品物|goods, article, thing|Noun|Abstract Concept / Fact|||||||
bungaku, 文学, literature, , |bungaku|文学|literature|Noun|Abstract Concept / Fact|||||||
youi, 用意, preparation, arrangements, provision, getting ready, laying out (e.g. a meal), , |youi|用意|preparation, arrangements, provision, getting ready, laying out (e.g. a meal)|Noun|Abstract Concept / Fact|||||||
nyuuin, 入院, hospitalization, hospitalisation, , |nyuuin|入院|hospitalization, hospitalisation|Noun|Abstract Concept / Fact|||||||
kanzen, 完全, perfection, completeness, , |kanzen|完全|perfection, completeness|Noun|Abstract Concept / Fact|||||||
kizu, 傷, wound, injury, gash, bruise, cut, scrape, scar, chip, crack, scratch, nick, flaw, defect, weakness, weak point, stain (on one's reputation), disgrace, dishonor, dishonour, hurt feelings, , |kizu|傷|wound, injury, gash, bruise, cut, scrape, scar, chip, crack, scratch, nick, flaw, defect, weakness, weak point, stain (on one's reputation), disgrace, dishonor, dishonour, hurt feelings|Noun|Abstract Concept / Fact|||||||
jujutsu, 呪術, magic, sorcery, incantation, , |jujutsu|呪術|magic, sorcery, incantation|Noun|Abstract Concept / Fact|||||||
hanzai, 判事, crime, , |hanzai|判事|crime|Noun|Abstract Concept / Fact|||||||
youji, 用事, tasks, things to do, errand, business (to take care of), affairs, engagement, , |youji|用事|tasks, things to do, errand, business (to take care of), affairs, engagement|Noun|Abstract Concept / Fact|||||||
ondo, 温度, temperature, , |ondo|温度|temperature|Noun|Abstract Concept / Fact|||||||
kanpai, 乾杯, toast, , |kanpai|乾杯|toast|Noun|Abstract Concept / Fact|As of when drinking alcohol||||||
yachin, 家賃, rent, , |yachin|家賃|rent|Noun|Abstract Concept / Fact|||538||||
nyuusu, ニュース, news, , |nyuusu|ニュース|news|Noun|Abstract Concept / Fact|||76, 1373||||
shikikin, 敷金, deposit, , |shikikin|敷金|deposit|Noun|Abstract Concept / Fact|||||||
zehi, 是非, right and wrong, pros and cons, , |zehi|是非|right and wrong, pros and cons|Noun|Abstract Concept / Fact|||||||
ippatsu, 一発, one shot, one round, one charge, , |ippatsu|一発|one shot, one round, one charge|Noun|Abstract Concept / Fact|||||||
houhou, 方法, method, , |houhou|方法|method|Noun|Abstract Concept / Fact|||||||
yasumi, 休み, vacation, holidays, , |yasumi|休み|vacation, holidays|Noun|Abstract Concept / Fact|Used in an informal dialogue||77, 1298||||
hiru yasumi, 昼休み, lunch break, noon recess, noon rest period, , |hiru yasumi|昼休み|lunch break, noon recess, noon rest period|Noun|Abstract Concept / Fact|||||||
kyuujitsu, 休日, vacation, holidays, , |kyuujitsu|休日|vacation, holidays|Noun|Abstract Concept / Fact|Used in a formal dialogue||||||
kyuuka, 休暇, vacation, holidays, , |kyuuka|休暇|vacation, holidays|Noun|Abstract Concept / Fact| Used in word conjunctions & for medium-long vacations||||||
natsu yasumi, 夏休み, summer vacation, , |natsu yasumi|夏休み|summer vacation|Noun|Abstract Concept / Fact|||||||
tsugou, 都合, circumstances, conditions, convenience, , |tsugou|都合|circumstances, conditions, convenience|Noun|Abstract Concept / Fact|||||||
miyage, omiyage, お土産, souvenir, , |miyage, omiyage|お土産|souvenir|Noun|Abstract Concept / Fact|||||||
shiyou, 使用, use, application, employment, utilization, utilisation, , |shiyou|使用|use, application, employment, utilization, utilisation|Noun|Abstract Concept / Fact|||||||
shiyou, 仕様, way, method, means, resource, remedy, technical specifications, , |shiyou|仕様|way, method, means, resource, remedy, technical specifications|Noun|Abstract Concept / Fact|||||||
nouryoku, 能力, ability, faculty, , |nouryoku|能力|ability, faculty|Noun|Abstract Concept / Fact|||||||
guntai, 軍隊, army, troops, , |guntai|軍隊|army, troops|Noun|Abstract Concept / Fact|||||||
seigi, 正義, justice, right, righteousness, correct meaning, , |seigi|正義|justice, right, righteousness, correct meaning|Noun|Abstract Concept / Fact|||||||
hajime, 始め, beginning, start, outset, opening, , |hajime|始め|beginning, start, outset, opening|Noun|Abstract Concept / Fact|||||||
kaigai, 海外, foreign, abroad, overseas, , |kaigai|海外|foreign, abroad, overseas|Noun|Abstract Concept / Fact|||||||
shoutaijou, 招待状, written invitation, , |shoutaijou|招待状|written invitation|Noun|Abstract Concept / Fact|||||||
hanami, 花見, cherry blossom viewing, flower viewing, , |hanami|花見|cherry blossom viewing, flower viewing|Noun|Abstract Concept / Fact|||||||
dai, 第, ordinal, , |dai|第|ordinal|Noun|Abstract Concept / Fact|||||||
koshou, 故障, break-down, failure, fault, accident, out of order, , |koshou|故障|break-down, failure, fault, accident, out of order|Noun|Abstract Concept / Fact|||||||
tekizen, 敵前, enemy presence, , |tekizen|敵前|enemy presence|Noun|Abstract Concept / Fact|||||||
bamen, 場面, scene, setting (e.g. of a novel), , |bamen|場面|scene, setting (e.g. of a novel)|Noun|Abstract Concept / Fact|||||||
kougi, 講義, lecture, , |kougi|講義|lecture|Noun|Abstract Concept / Fact|||||||
rei, orei, お礼, gratitude, , |rei, orei|お礼|gratitude|Noun|Abstract Concept / Fact|||||||
setto, セット, set, , |setto|セット|set|Noun|Abstract Concept / Fact|||||||
genkoku, 現国, modern Japanese (esp. as a school subject), , |genkoku|現国|modern Japanese (esp. as a school subject)|Noun|Abstract Concept / Fact|||||||
koufuku, 幸福, happiness, , |koufuku|幸福|happiness|Noun|Abstract Concept / Fact|||||||
kotoba, 言葉, language, dialect, word, words, phrase, term, expression, remark, speech, , |kotoba|言葉|language, dialect, word, words, phrase, term, expression, remark, speech|Noun|Abstract Concept / Fact|||78||||
supiichi, スピーチ, speech, , |supiichi|スピーチ|speech|Noun|Abstract Concept / Fact|||1375||||
koto, 事, things, matters, circumstance, situation, event, affair, work, business, , |koto|事|things, matters, circumstance, situation, event, affair, work, business|Noun|Abstract Concept / Fact|||1298||||
kizashi, きざし, sign, , |kizashi|きざし|sign|Noun|Abstract Concept / Fact|||||||
kokoro, 心, mind, heart, core, , |kokoro|心|mind, heart, core|Noun|Abstract Concept / Fact|conceptual, not physical heart||||||
tassei, 達成, achievement, tatsusei, たっ成, |tassei|達成|achievement|Noun|Abstract Concept / Fact||||||tatsusei, たっ成|
senran, 戦乱, wars, disturbances, , |senran|戦乱|wars, disturbances|Noun|Abstract Concept / Fact|||||||
moto, 元, origin, source, cause, (somebody's) side, (somebody's) location, , |moto|元|origin, source, cause, (somebody's) side, (somebody's) location|Noun|Abstract Concept / Fact|||||||
moto, 基, base, basis, foundation, root, (plant) root, (tree) trunk, , |moto|基|base, basis, foundation, root, (plant) root, (tree) trunk|Noun|Abstract Concept / Fact|||||||
moto, 素, ingredient, material, , |moto|素|ingredient, material|Noun|Abstract Concept / Fact|||||||
ejiki, 餌食, prey, victim, , |ejiki|餌食|prey, victim|Noun|Abstract Concept / Fact|||||||
setsumeikai, 説明会, information session, briefing, explanatory meeting, , |setsumeikai|説明会|information session, briefing, explanatory meeting|Noun|Abstract Concept / Fact|||||||
futsuu, 不通, suspension, interruption, stoppage, tie-up, cessation, , |futsuu|不通|suspension, interruption, stoppage, tie-up, cessation|Noun|Abstract Concept / Fact|||||||
kakera, 欠片, カケラ, fragment, broken piece, splinter, , |kakera|欠片, カケラ|fragment, broken piece, splinter|Noun|Abstract Concept / Fact|||||||
senjou, 洗浄, washing, cleaning, laundering, , |senjou|洗浄|washing, cleaning, laundering|Noun|Abstract Concept / Fact|||||||
tagui, 類, 比, kind, sort, type, , |tagui|類, 比|kind, sort, type|Noun|Abstract Concept / Fact|||||||
jouhou, 情報, news, gossip, (military) intelligence, information, , |jouhou|情報|news, gossip, (military) intelligence, information|Noun|Abstract Concept / Fact|||1295, 1374||||
youkai, 妖怪, ghost, apparition, phantom, spectre, demon, monster, goblin, , |youkai|妖怪|ghost, apparition, phantom, spectre, demon, monster, goblin|Noun|Abstract Concept / Fact|||||||
mamono, 魔物, demon, devil, evil spirit, monster, golin, apparition, , |mamono|魔物|demon, devil, evil spirit, monster, golin, apparition|Noun|Abstract Concept / Fact|||||||
issho, 一緒, together, at the same time, identical, , |issho|一緒|together, at the same time, identical|Noun|Abstract Concept / Fact|||||||
zangai, 残骸, ruins, wreckage, , |zangai|残骸|ruins, wreckage|Noun|Abstract Concept / Fact|||||||
jinrui, 人類, mankind, humanity, , |jinrui|人類|mankind, humanity|Noun|Abstract Concept / Fact|||||||
shuu, shu, 衆, masses, great number, the people, , |shuu, shu|衆|masses, great number, the people|Noun|Abstract Concept / Fact|||||||
dou, 同, the same, the said, ibid, , |dou|同|the same, the said, ibid|Noun|Abstract Concept / Fact|||||||
chou, 庁, government office, agency, board, , |chou|庁|government office, agency, board|Noun|Abstract Concept / Fact|||||||
aidagara, 間柄, relation, relationship, , |aidagara|間柄|relation, relationship|Noun|Abstract Concept / Fact|||||||
aida, 間, space, gap, interval, pause, break, span, stretch, period, relationship, , |aida|間|space, gap, interval, pause, break, span, stretch, period, relationship|Noun|Abstract Concept / Fact|||1351, 1352||||
koko, 個々, 個個, , individual, one by one, separate, , |koko|個々, 個個, |individual, one by one, separate|Noun|Abstract Concept / Fact|||||||
yakusou, 薬草, medicine plants, , |yakusou|薬草|medicine plants|Noun|Abstract Concept / Fact|||||||
tanoshimi, 楽しみ, enjoyment, pleasure, diversion, amusement, hobby, , |tanoshimi|楽しみ|enjoyment, pleasure, diversion, amusement, hobby|Noun|Abstract Concept / Fact|||||||
hama, 破魔, exorcism, , |hama|破魔|exorcism|Noun|Abstract Concept / Fact|||||||
ten matsu, てんまつ, circumstance, , |ten matsu|てんまつ|circumstance|Noun|Abstract Concept / Fact|||||||
annai, 案内, information,  guidance, instruction, , |annai|案内|information,  guidance, instruction|Noun|Abstract Concept / Fact|||||||
otoko, 男, male, , |otoko|男|male|Noun|Abstract Concept / Fact|||79||||
onna, 女, female, , |onna|女|female|Noun|Abstract Concept / Fact|||80||||
migi, 右, right, , |migi|右|right|Noun|Abstract Concept / Fact|||||||
hidari, 左, left, , |hidari|左|left|Noun|Abstract Concept / Fact|||||||
hiyou, 費用, cost, expense, , |hiyou|費用|cost, expense|Noun|Abstract Concept / Fact|||||||
seikatsu, 生活, living, life, livelihood, , |seikatsu|生活|living, life, livelihood|Noun|Abstract Concept / Fact|||||||
kaeriuchi, 返り討ち, reversed situation, being beaten at one's own game, , |kaeriuchi|返り討ち|reversed situation, being beaten at one's own game|Noun|Abstract Concept / Fact|||||||
tame, 為, good, advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning, , |tame|為|good, advantage, benefit, welfare, sake, purpose, objective, aim, consequence, result, effect, affecting, regarding, concerning|Noun|Abstract Concept / Fact|||||||
seikatsuhi, 生活費, living expenses, cost of living, , |seikatsuhi|生活費|living expenses, cost of living|Noun|Abstract Concept / Fact|||||||
shonen, 初年生, first-year, , |shonen|初年生|first-year|Noun|Abstract Concept / Fact|||||||
nonmu, 任務, duty, function, office, mission, task, , |nonmu|任務|duty, function, office, mission, task|Noun|Abstract Concept / Fact|||||||
ninen, 二年生, second-year, , |ninen|二年生|second-year|Noun|Abstract Concept / Fact|||||||
sannen, 三年生, third-year, , |sannen|三年生|third-year|Noun|Abstract Concept / Fact|||||||
yonen, 四年生, fourth-year, , |yonen|四年生|fourth-year|Noun|Abstract Concept / Fact|||||||
kibun, 気分, feeling, mood, , |kibun|気分|feeling, mood|Noun|Abstract Concept / Fact|||||||
ichiban, 一番, best, first, number one, most, , |ichiban|一番|best, first, number one, most|Noun|Abstract Concept / Fact|||||||
nagaiki, 長生き, longevity, long life, , |nagaiki|長生き|longevity, long life|Noun|Abstract Concept / Fact|||||||
nagamochi, 長持ち, long-lasting, long-wearing, , |nagamochi|長持ち|long-lasting, long-wearing|Noun|Abstract Concept / Fact|||||||
kyuukou, 急行, express transport, high-speed, speedy transport, , |kyuukou|急行|express transport, high-speed, speedy transport|Noun|Abstract Concept / Fact|||||||
gendai, 現代, modern era, nowadays, modern times, present day, , |gendai|現代|modern era, nowadays, modern times, present day|Noun|Abstract Concept / Fact|||||||
gendaigo, 現代語, modern English language, , |gendaigo|現代語|modern English language|Noun|Abstract Concept / Fact|||||||
kougaku, 工学, engineering, , |kougaku|工学|engineering|Noun|Abstract Concept / Fact|||||||
kikan, 期間, period, term, interval, , |kikan|期間|period, term, interval|Noun|Abstract Concept / Fact|||||||
shusshin, 出身, person's origin (town, city, country, place of graduation), director in charge of employee relations, , |shusshin|出身|person's origin (town, city, country, place of graduation), director in charge of employee relations|Noun|Abstract Concept / Fact|||||||
tokugi, 特技, special skill, , |tokugi|特技|special skill|Noun|Abstract Concept / Fact|||||||
tokugi, 徳義, morals, morality, sincerity, , |tokugi|徳義|morals, morality, sincerity|Noun|Abstract Concept / Fact|||||||
kitai, 期待, expectation, anticipation, hope, , |kitai|期待|expectation, anticipation, hope|Noun|Abstract Concept / Fact|||||||
hayasa, 早さ, earliness, , |hayasa|早さ|earliness|Noun|Abstract Concept / Fact|||||||
kekkai, 結界, spiritual or magical barrier, , |kekkai|結界|spiritual or magical barrier|Noun|Abstract Concept / Fact|||||||
wagaya, 我が家, one's home, one's house, one's family, , |wagaya|我が家|one's home, one's house, one's family|Noun|Abstract Concept / Fact|||||||
sakusen, 作戦, tactics, strategy, operations, 策戦, |sakusen|作戦|tactics, strategy, operations|Noun|Abstract Concept / Fact||||||策戦|
ki, 奇, something strange, something unusual, , |ki|奇|something strange, something unusual|Noun|Abstract Concept / Fact|||||||
myou, 妙, something superb, something excellent, , |myou|妙|something superb, something excellent|Noun|Abstract Concept / Fact|||||||
kiken, 危険, danger, peril, hazard, , |kiken|危険|danger, peril, hazard|Noun|Abstract Concept / Fact|||||||
kaisha, 会社, company, work, , |kaisha|会社|company, work|Noun|Abstract Concept / Fact|||81||||
ryokou gaisha, 旅行会社, travel agency, , |ryokou gaisha|旅行会社|travel agency|Noun|Abstract Concept / Fact|||82||||
uso, 嘘, lie, falsehood, incorrect fact, , |uso|嘘|lie, falsehood, incorrect fact|Noun|Abstract Concept / Fact|||||||
namae, 名前, name, , |namae|名前|name|Noun|Abstract Concept / Fact|||83, 1278||||
mucha, 無茶, absurdity, nonsense, , |mucha|無茶|absurdity, nonsense|Noun|Abstract Concept / Fact|||||||
muda, 無駄, futility, uselessness, pointlessness, , |muda|無駄|futility, uselessness, pointlessness|Noun|Abstract Concept / Fact|||||||
bangou, 番号, number, , |bangou|番号|number|Noun|Abstract Concept / Fact|||84||||
oosouji, 大掃除, major cleanup, spring cleaning, , |oosouji|大掃除|major cleanup, spring cleaning|Noun|Abstract Concept / Fact|||||||
juusho, 住所, address, , |juusho|住所|address|Noun|Abstract Concept / Fact|||1277||||
yasumi, 休み, rest, break, , |yasumi|休み|rest, break|Noun|Abstract Concept / Fact|||||||
han, 半, half, , |han|半|half|Noun|Abstract Concept / Fact|||85||||
hanbun, 半分, half, , |hanbun|半分|half|Noun|Abstract Concept / Fact|||86||||
