Basics||||||||||||||||TitleSimpleForm||||||||TitleProgressive|||||||||||TitlePoliteness|||||TitleRequest|||||TitleImperative|||||TitleDesire|||||||||TitleProvisional||||||||||TitleVolitional|||||TitleObligation|||||||||||TitlePresumptive||||||||TitleAlternative||||TitleCausativeA|||||TitleCausativePv|||||TitlePassive||||||TitlePotential||||||TitleContinuative|||||||TitleCompulsion|||TitleGerund|||||||TitleteformCmp||||||||||||||TitleteformConj||||TitleSFConj||||TitlemasuCmp||||||||||||TitleStemMisc|||||||||TitleArch||||
Basics1|Basics2|Basics3|Basics4|Basics5|Basics6|Basics7|Basics8|Basics9|Basics10|Basics11|Basics12|Basics13|Basics14|Basics15|Basics16|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|PPr|PPrA|ClPr|ClPrA|PPrN|ClPrN|PlPr|PlPrN|PPs|PlPs|PlPsN|LPl|Hn1|Hn2|Hm1|Hm2|Pl1|Pl2|PlN|Hn|HnN|PPrV|PPrL|PPrN|PlPr|PlPrN|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|Pr3rdPO|Pba|ClN|PNba|Plba|PlNba|Ptara|PNtara|Pltara|PlNtara|IIWTS|P|PN|PPg|Pl|PlN|ClPr|PPr1|PPr2|PPrN1|PPrN2|PPrN3|PlPr1|PlPr2|PlPrN1|PlPrN2|PlPrN3|PPr|PPs|PPrN|PPsN|PlPr|PlPs|PlPrN|PlPsN|A|N|APg|NPg|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|ClPr|PPrN|PlPr|PlPrN|PPr|PPrN|PPrN|PlPr|PlPrN|PvPg|PPr|ClPr|PPrN|PPrN|PlPr|PlPrN|PPrL|PPr|PlPrN1|PlPrN2|PlPr|PlPrN1|PlPrN2|ClPr|PPr|PlPr|A|N|Ps|teform|APg|NPg|PsPg|teformCmp1|teformCmp2|teformCmp3|teformCmp4|teformCmp5|teformCmp6|teformCmp7|teformCmp8|teformCmp9|teformCmp10|teformCmp11|teformCmp12|teformCmp13|teformCmp14|teformConj1|teformConj2|teformConj3|teformConj4|SFConj1|SFConj2|SFConj3|SFConj4|masuCmp1|masuCmp2|masuCmp3|masuCmp4|masuCmp5|masuCmp6|masuCmp7|masuCmp8|masuCmp9|masuCmp10|masuCmp11|masuCmp12|StemMisc1|StemMisc2|StemMisc3|StemMisc4|StemMisc5|StemMisc6|StemMisc7|StemMisc8|StemMisc9|Arch1|Arch2|Arch3|Arch4|
ku godan|to become dry|I||かわく|乾く|kawaku|乾|kawa||||||||kawaku|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||||XXXく|XXXく|ku|||ki|ka|kou|ke|itte|itta|ki|ku|ita|kanai|kanakatta|kimasu|kimashita|kimasen|kimasen deshita|itteiru|itteite|itteru|ittete|itteinai|ittenai|itteimasu|itteimasen|itteita|itteimashita|itteimasen deshita|*|(o)de ni naru|rassharu|*|(o)mairu|itte kudasai|(o)ki kudasai|kanaide kudasai|(o)ki nasaimase|(o)ki nasaimasu na|ke|ke|ku na|ki nasai|ki nasaru na|kittai|kittakatta|kittakunai|kittakunakatta|kittai desu|kittai deshita|kittaku arimasen|kittaku arimasen deshita|kittagaru|keba|ka nakya|kanakereba|kimaseba|kimasen nara|ittara|kanakattara|kimashitara|kimasen deshitara|kittakereba|kou|ku mai|itteyou|kimashou|kimasu mai|ka nakya (ikenai)|ka nakereba ikenai|ka nakereba naranai|itte wa ikenai|itte wa naranai|itte wa dame da|ka nakereba ikemasen|ka nakereba narimasen|itte wa ikemasen|itte wa narimasen|itte wa dame desu|ku darou|itta darou|kanai darou|kanakatta darou|ku deshou|itta deshou|kanai deshou|kanakatta deshou|ittari|kanakattari|itteitari|itteinakattari|kaseru|kasu|kasenai|kasemasu|kasemasen|kaserareru|kasareru|kaserarenai|kaseraremasu|kaseraremasen|kareru|kareta|karenai|karemasu|karemasen|karete|keru|reru|keta|kenai|kemasu|kemasen|ki|itte|kanaide|kanakute|kimashite|kimasende|kazu ni|ka nakucha (ikenai)|ka nakute wa ikenai|ka nakute wa ikemasen|kukoto|kanaikoto|ittakoto|ittekoto|itteiru koto|itteinai koto|itteita koto|itte ageru|itte kureru|itte morau|itte iku|itte oku|kittoku|itte shimau|ichau|itte shimatta|ichatta|itte miru|itte suru|itte aru|itte kuru|itte hoshii|itte mo ii|itte mo kamawanai|kanakute mo ii|ku n da|ku n desu|ku no da|ku no desu|kisugiru|kisugi da|kiau|kidasu|kihajimeru|kinaosu|kiokureru|kiowaru|kiwasureru|kiyagaru|kikaneru|kiageru|ki ni [verb]|kinagara|kanasasou|kitsuzuku|kikata|kinikui|kiyasui|kisasu|kiyagare|kanu|kazu|kazaru|kazaru wo enai|
iku special class|to go|I||いく|行く|iku|行|i|||||||||||||||||||||||||||*|(o)ide ni naru|irassharu|*|(o)mairu||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||*|*|*|*|*|*|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||連れて行く|tsureteiku|連れて行|tsuretei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||上手くいく|umakuiku|上手くい|umakui|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||持っていく|motteiku|持ってい|mottei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||地でいく|jideiku|地でい|jidei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class||I|||ついて行く|tsuiteiku|ついて行|tsuitei|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
iku special class|to maintain itself, to last, to make itself pay, to make a living, to keep going|I|||立ち行く|tachiiku|立ち行|tachii|||||||||||||||||||||||||||*|*|*|*|*||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
